mode,regime,act,width,smooth,n_pairs,nparams,dnorm_med,rq_A_med,rq_mid_med,rq_B_med,flen_mid_med,lmax_A_med,lmax_mid_med,lmax_B_med,trP_A_med,trP_mid_med,trP_B_med,align_A_med,align_mid_med,align_B_med,spec_mid_med,ov1_mid_med,top1_mid_med,pow_gap_mid_med,rq_tmax_med,rq_tmin_med,t_at_rqmax_med,align_mid_rat,spec_mid_rat,alpha_rq,alpha_rq_r2,alpha_flen,alpha_flen_r2,alpha_dnorm,alpha_dnorm_r2,alpha_trP,alpha_trP_r2,alpha_lmax,alpha_lmax_r2,alpha_align,alpha_align_r2,alpha_spec,alpha_spec_r2,resid_flen,resid_rq
mlp,sp,gelu,64,1,10,55050,27.935591000000002,0.0001109246,0.0015703330000000001,0.00012889175,0.6153854,0.1372067,3.2541349999999998,0.14307009999999998,3.379728e-05,0.0010273840000000001,3.416858e-05,3.230301,1.50876,3.600785,0.00042331300000000003,4.8939994999999995e-06,0.01255948,3.1099999999999997e-07,0.0037521065,9.808718e-05,0.5,1.5284771808788145,0.00048256541292847414,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,128,1,10,118282,30.997233,3.025303e-05,0.00038789545,3.5282805e-05,0.18445119999999998,0.06501569,1.8027375,0.06501569,7.836484e-06,0.0003189483,7.703421e-06,3.6451409999999997,1.1486939999999999,4.1106175,0.00021413360000000002,5.3576804999999995e-06,0.02400416,2.265e-05,0.0012840855,2.542798e-05,0.5,1.2161703009547316,0.00021517023415777394,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,256,1,10,269322,37.127168999999995,1.0747465e-05,7.9592495e-05,1.178606e-05,0.054949085,0.05265599,1.457381,0.05265599,2.824968e-06,0.00010250839999999999,2.7333635e-06,3.694188,0.78761645,4.4590245,5.8234415e-05,6.4948905e-07,0.012660425,0.00019635,0.00044399225,1.0747465e-05,0.5,0.7764485154387348,5.461337495136823e-05,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,512,1,10,669706,47.9251105,6.448347e-06,2.52125e-05,6.278991e-06,0.02896066,0.04623128,1.4933765,0.04627361,1.07281e-06,4.395393e-05,1.0843610000000001e-06,5.9437985,0.57371645,5.627388,1.7187185e-05,8.417201999999999e-07,0.03991016,9.205e-06,0.00019263625,5.9745475e-06,0.75,0.5736119614332552,1.6882882514891587e-05,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,1024,1,10,1863690,64.6508365,4.329318e-06,1.3607590000000001e-05,4.183316e-06,0.0284906,0.042158644999999995,2.047832,0.04495895,4.2878355e-07,2.0464005e-05,4.094277e-07,10.2524,0.6959811499999999,10.127870000000001,6.811776e-06,1.11470645e-07,0.01619576,2.065e-07,0.0001263234,4.125211e-06,0.75,0.6649524372184233,6.644876142183538e-06,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,2048,1,10,5824522,89.2844645,3.3950605e-06,1.358679e-05,3.5542175e-06,0.054094005,0.04001041,8.218608,0.0452476,1.484142e-07,1.3635705e-05,1.554247e-07,23.148719999999997,0.99153585,22.916385,1.689381e-06,8.393284500000001e-08,0.038890129999999995,7.58e-08,0.00020528855,3.3375055e-06,0.375,0.9964127267347013,1.653174114156558e-06,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,gelu,4096,1,10,20037642,124.580691,2.6618135e-06,1.2836010000000001e-05,2.460741e-06,0.09960970499999999,0.042202575,17.946495,0.03863526,5.043037e-08,7.5623695000000005e-06,4.657137e-08,54.787774999999996,1.6479135,55.517745000000005,6.975491e-07,8.7920955e-09,0.012780785,1.0099999999999999e-07,0.00041107155,2.460741e-06,0.625,1.6973529262223963,7.152377107619065e-07,1.1794,0.86,0.4417,0.3601,-0.3687,0.9747,1.1671,0.9703,-0.4378,0.4613,0.0123,0.002,1.6172,0.9967,0.0003,0.0
mlp,sp,swish,64,1,10,55050,27.431343,0.00012342395,0.0014054195,0.0001107127,0.5404483499999999,0.1218454,3.3957655,0.10354488,3.1928085e-05,0.0011055169999999999,3.409658e-05,3.5689675000000003,1.309722,3.2862929999999997,0.00035520335,1.0360484999999999e-05,0.020716325,1.48e-07,0.0032851535,0.00010616615,0.75,1.2712780536165433,0.00041387413235690154,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,128,1,10,118282,30.512558,3.1624455000000006e-05,0.0002636754,3.749068e-05,0.1215932,0.062893375,1.7346995,0.06605975,8.7859015e-06,0.00029040105,8.849411e-06,3.5414234999999996,0.95919325,3.8876535,0.00014741695,1.4198439999999999e-06,0.0100023055,2.7799999999999996e-06,0.001036401,3.0128895000000002e-05,0.5,0.9079698575470028,0.0001520006202803425,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,256,1,10,269322,36.709740499999995,1.5337645e-05,6.853855499999999e-05,1.460059e-05,0.046006309999999995,0.05731067,1.5090979999999998,0.04692564,3.235497e-06,0.00010668719999999999,3.3469430000000002e-06,4.614819000000001,0.6597007500000001,4.387781,3.745638e-05,1.3570575e-06,0.031060884999999996,4.3925e-06,0.00038217915,1.299888e-05,0.25,0.6424252862573955,4.5416901354318935e-05,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,512,1,10,669706,47.786806,9.659211e-06,2.152732e-05,9.8838325e-06,0.024577975000000002,0.05328074,1.7557589999999998,0.06162561,1.387738e-06,4.6253935e-05,1.4787225e-06,6.639920500000001,0.4734408,6.7669495,1.2547305000000001e-05,7.294644e-08,0.0050697345,2.1e-07,0.00019059870000000002,9.5506785e-06,0.75,0.46541596947373237,1.226097659188989e-05,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,1024,1,10,1863690,64.8378875,6.5490355e-06,1.196431e-05,6.432551500000001e-06,0.02515125,0.0629084,2.5335205,0.07180274,5.6285085e-07,2.063429e-05,5.562865e-07,11.384979999999999,0.5796607,11.501785,4.1361575e-06,1.1340994e-07,0.029700400000000002,7.575e-08,0.00014063284999999998,6.0525495000000005e-06,0.5,0.5798265896233891,4.722405048627e-06,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,2048,1,10,5824522,89.7121845,5.2525785e-06,8.362877000000001e-06,5.278873000000001e-06,0.033658415,0.060039265,9.1304305,0.05874749,1.963186e-07,1.139306e-05,1.911511e-07,26.248975,0.70319745,27.860165000000002,9.766487000000002e-07,1.848605e-08,0.019369934999999998,4.15e-08,0.0001941135,5.197759e-06,0.75,0.7340325601725964,9.159345772359805e-07,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
mlp,sp,swish,4096,1,10,20037642,125.09027599999999,4.0769765e-06,8.996985000000001e-06,3.865346e-06,0.070382625,0.05635382,21.022125000000003,0.06994709,5.997796e-08,7.170375e-06,5.669172e-08,67.53153,1.3328639999999998,65.63140999999999,4.418259e-07,7.226064e-09,0.018093755000000003,8.89e-08,0.00040697369999999995,3.7649395e-06,0.375,1.2547439987448357,4.279769528532439e-07,1.2263,0.8851,0.4786,0.423,-0.375,0.9761,1.1971,0.9743,-0.4796,0.5235,0.0292,0.013,1.706,0.9961,0.0023,0.0
