arch,regime,act,width,width_paper,seedA,seedB,t,rq_t,src,status
mlp,ntk,gelu,128,128,0,1,0.25,4.569325e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.3,4.021081e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.35,3.026437e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.4,1.87154e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.45,9.439579e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.5,5.798225e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.55,9.3607e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.6,1.904318e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.65,3.113396e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.7,4.136937e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.75,4.711212e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.8,4.744434e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.85,4.298226e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.9,3.570693e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.95,2.803815e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,1.0,2.160681e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.0,1.706387e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.05,2.18032e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.1,2.752899e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.15,3.335102e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.2,3.749387e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.25,3.778757e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.3,3.300694e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.35,2.414666e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.4,1.420656e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.45,6.666125e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.5,4.087063e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.55,7.294666e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.6,1.507163e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.65,2.454955e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.7,3.23904e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.75,3.628947e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.8,3.58052e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.85,3.204371e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.9,2.671312e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.95,2.130744e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,1.0,1.67319e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.0,2.128509e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.05,2.754758e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.1,3.527905e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.15,4.297755e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.2,4.813702e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.25,4.812101e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.3,4.160693e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.35,2.985257e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.4,1.673505e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.45,6.852276e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.5,3.383677e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.55,7.312268e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.6,1.743744e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.65,3.045336e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.7,4.171889e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.75,4.732609e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.8,4.61118e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.85,3.98502e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.9,3.165343e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,0.95,2.40236e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,3,1.0,1.806763e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.0,1.7967e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.05,2.220755e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.1,2.674832e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.15,3.061495e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.2,3.259235e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.25,3.190107e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.3,2.862292e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.35,2.347635e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.4,1.749107e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.45,1.204907e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.5,9.014652e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.55,1.01846e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.6,1.582755e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.65,2.379094e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.7,3.068381e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.75,3.406107e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.8,3.359895e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.85,3.060464e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.9,2.670574e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,0.95,2.298382e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,4,1.0,2.018767e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.0,1.969018e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.05,2.571878e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.1,3.292526e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.15,3.993286e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.2,4.451131e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.25,4.459132e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.3,3.943847e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.35,3.012559e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.4,1.916861e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.45,9.675522e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.5,4.485023e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.55,5.494814e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.6,1.31111e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.65,2.568333e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.7,3.918719e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.75,4.841666e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.8,5.014099e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.85,4.518609e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.9,3.698419e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,0.95,2.871194e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,2,1.0,2.191293e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.0,1.452655e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.05,1.884676e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.1,2.408868e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.15,2.952788e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.2,3.380202e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.25,3.51916e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.3,3.239722e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.35,2.554325e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.4,1.653892e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.45,8.410862e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.5,4.140059e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.55,5.514535e-06,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.6,1.232941e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.65,2.229089e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.7,3.180388e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.75,3.752254e-05,04_profile,ok
mlp,ntk,gelu,128,128,1,3,0.8,3.803457e-05,04_profile,ok
