mode,regime,act,width,smooth,seed,nparams,lmax,pow_gap,trP,trP_sem,probes,acc,status
mlp,mup,softplus,256,1,4,269322,3.299472e-02,9.03e-07,1.337618e-06,6.585e-08,24,0.9854,ok
mlp,ntk,softplus,128,1,0,118282,5.555047e-01,6.24e-04,2.996077e-05,2.561e-06,24,0.9105,ok
mlp,ntk,softplus,128,1,1,118282,5.610616e-01,3.29e-03,2.743036e-05,2.941e-06,24,0.9117,ok
mlp,ntk,softplus,128,1,2,118282,5.344095e-01,8.20e-04,3.311724e-05,1.750e-06,24,0.9129,ok
mlp,ntk,softplus,128,1,3,118282,5.324141e-01,1.44e-03,3.168069e-05,3.127e-06,24,0.9108,ok
mlp,ntk,softplus,128,1,4,118282,6.024045e-01,8.11e-05,3.156971e-05,3.023e-06,24,0.9113,ok
mlp,sp,gelu,128,1,0,118282,7.949407e-02,2.81e-07,7.836484e-06,3.491e-07,24,0.9849,ok
mlp,sp,gelu,128,1,1,118282,4.880124e-02,9.71e-04,8.299551e-06,3.701e-07,24,0.9856,ok
mlp,sp,gelu,128,1,2,118282,6.501569e-02,0.00e+00,7.328443e-06,2.987e-07,24,0.9842,ok
mlp,sp,gelu,128,1,3,118282,6.007203e-02,8.73e-04,8.884654e-06,2.978e-07,24,0.9845,ok
mlp,sp,gelu,128,1,4,118282,6.933159e-02,2.15e-07,7.703421e-06,2.817e-07,24,0.9838,ok
mlp,sp,swish,128,1,0,118282,7.404407e-02,2.52e-06,8.929872e-06,3.905e-07,24,0.9841,ok
mlp,sp,swish,128,1,1,118282,5.459357e-02,1.18e-03,8.518034e-06,2.963e-07,24,0.9834,ok
mlp,sp,swish,128,1,2,118282,5.972700e-02,3.86e-04,8.722392e-06,4.903e-07,24,0.984,ok
mlp,sp,swish,128,1,3,118282,6.605975e-02,7.99e-04,8.849411e-06,5.363e-07,24,0.9845,ok
mlp,sp,swish,128,1,4,118282,9.430492e-02,7.90e-08,1.024379e-05,4.082e-07,24,0.9835,ok
mlp,mup,relu,128,0,0,118282,5.196162e-02,5.74e-07,5.193760e-06,3.097e-07,24,0.9835,ok
mlp,mup,relu,128,0,1,118282,4.138277e-02,2.70e-07,5.539676e-06,2.273e-07,24,0.9845,ok
mlp,mup,relu,128,0,2,118282,5.633760e-02,1.63e-03,6.710930e-06,3.894e-07,24,0.9848,ok
mlp,mup,relu,128,0,3,118282,4.900831e-02,6.00e-05,5.045274e-06,2.517e-07,24,0.9831,ok
mlp,mup,relu,128,0,4,118282,4.154769e-02,1.67e-03,6.322570e-06,2.820e-07,24,0.9842,ok
mlp,mup,tanh,128,1,0,118282,5.102155e-02,4.96e-04,1.658780e-05,4.266e-07,24,0.979,ok
mlp,mup,tanh,128,1,1,118282,5.404162e-02,2.36e-05,1.622726e-05,3.331e-07,24,0.9812,ok
mlp,mup,tanh,128,1,2,118282,5.955735e-02,3.75e-07,1.684534e-05,4.105e-07,24,0.9795,ok
mlp,mup,tanh,128,1,3,118282,5.976565e-02,3.94e-04,1.817049e-05,3.711e-07,24,0.9783,ok
mlp,mup,tanh,128,1,4,118282,4.954595e-02,1.54e-05,1.608734e-05,3.246e-07,24,0.9787,ok
mlp,mup,softplus,128,1,0,118282,4.972943e-02,1.01e-04,6.043681e-06,1.910e-07,24,0.9836,ok
mlp,mup,softplus,128,1,1,118282,7.831439e-02,4.76e-07,6.654119e-06,3.927e-07,24,0.9835,ok
mlp,mup,softplus,128,1,2,118282,8.381622e-02,2.14e-05,7.384144e-06,3.662e-07,24,0.9827,ok
mlp,mup,softplus,128,1,3,118282,6.354374e-02,8.17e-05,6.670461e-06,3.779e-07,24,0.9838,ok
mlp,mup,softplus,128,1,4,118282,6.506839e-02,0.00e+00,6.763764e-06,3.210e-07,24,0.983,ok
mlp,ntk,softplus,64,1,0,55050,6.755785e-01,1.61e-04,8.681597e-05,6.518e-06,24,0.9139,ok
mlp,ntk,softplus,64,1,1,55050,6.557165e-01,1.46e-03,7.490613e-05,6.687e-06,24,0.9129,ok
mlp,ntk,softplus,64,1,2,55050,6.856480e-01,6.95e-05,9.386949e-05,9.306e-06,24,0.914,ok
mlp,ntk,softplus,64,1,3,55050,7.333630e-01,1.41e-04,8.136343e-05,8.873e-06,24,0.9123,ok
mlp,ntk,softplus,64,1,4,55050,6.725572e-01,3.86e-04,1.005952e-04,9.889e-06,24,0.9129,ok
mlp,sp,gelu,64,1,0,55050,1.166579e-01,7.51e-05,3.379728e-05,2.075e-06,24,0.9828,ok
mlp,sp,gelu,64,1,1,55050,1.372067e-01,2.02e-04,3.357666e-05,1.772e-06,24,0.9799,ok
