mode,regime,act,width,smooth,seedA,seedB,t,rq_t,flen_t,dnorm,status
mlp,ntk,tanh,4096,1,2,4,0.375000,1.505182e-07,2.825568e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.500000,5.977075e-09,1.122033e-01,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.625000,1.394601e-07,2.617983e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.750000,3.343553e-07,6.276610e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,0.875000,2.634488e-07,4.945533e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,2,4,1.000000,1.174663e-07,2.205109e+00,6127.360933,ok
mlp,ntk,tanh,4096,1,3,4,0.000000,1.026046e-07,1.926365e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.125000,2.274551e-07,4.270385e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.250000,3.035167e-07,5.698415e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.375000,1.401381e-07,2.631041e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.500000,6.589800e-09,1.237211e-01,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.625000,1.326543e-07,2.490536e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.750000,3.018968e-07,5.668002e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,0.875000,2.404667e-07,4.514675e+00,6127.745426,ok
mlp,ntk,tanh,4096,1,3,4,1.000000,1.117310e-07,2.097709e+00,6127.745426,ok
mlp,ntk,softplus,4096,1,0,1,0.000000,2.717949e-07,5.101378e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.125000,4.115849e-07,7.725127e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.250000,3.424724e-07,6.427938e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.375000,1.062304e-07,1.993862e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.500000,2.677694e-09,5.025822e-02,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.625000,1.138469e-07,2.136818e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.750000,3.411742e-07,6.403573e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,0.875000,3.953592e-07,7.420582e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,1,1.000000,2.564974e-07,4.814254e+00,6126.861513,ok
mlp,ntk,softplus,4096,1,0,2,0.000000,2.639831e-07,4.962461e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.125000,4.043943e-07,7.601968e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.250000,3.396091e-07,6.384109e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.375000,1.102442e-07,2.072414e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.500000,3.564991e-09,6.701613e-02,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.625000,1.074436e-07,2.019769e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.750000,3.374661e-07,6.343823e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,0.875000,4.142817e-07,7.787836e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,2,1.000000,2.791363e-07,5.247317e+00,6131.623602,ok
mlp,ntk,softplus,4096,1,0,3,0.000000,2.817876e-07,5.293039e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.125000,4.247268e-07,7.977980e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.250000,3.384285e-07,6.356970e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.375000,1.064310e-07,1.999178e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.500000,2.378555e-09,4.467827e-02,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.625000,1.051283e-07,1.974708e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.750000,3.396668e-07,6.380230e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,0.875000,4.275249e-07,8.030539e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,3,1.000000,2.804103e-07,5.267169e+00,6129.240083,ok
mlp,ntk,softplus,4096,1,0,4,0.000000,2.946741e-07,5.538244e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.125000,4.381311e-07,8.234442e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.250000,3.544251e-07,6.661232e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.375000,1.154097e-07,2.169064e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.500000,3.937047e-09,7.399473e-02,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.625000,1.157414e-07,2.175299e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.750000,3.541217e-07,6.655529e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,0.875000,4.328163e-07,8.134554e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,0,4,1.000000,2.942469e-07,5.530215e+00,6130.982303,ok
mlp,ntk,softplus,4096,1,1,2,0.000000,2.973825e-07,5.589270e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.125000,4.590294e-07,8.627406e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.250000,3.696454e-07,6.947443e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.375000,1.089504e-07,2.047711e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.500000,2.962244e-09,5.567503e-02,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.625000,1.166274e-07,2.191999e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.750000,3.740552e-07,7.030324e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,0.875000,4.368987e-07,8.211462e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,2,1.000000,2.694856e-07,5.064950e+00,6131.049829,ok
mlp,ntk,softplus,4096,1,1,3,0.000000,2.845991e-07,5.342130e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.125000,4.360181e-07,8.184373e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.250000,3.489935e-07,6.550858e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.375000,1.065502e-07,2.000024e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.500000,3.197984e-09,6.002846e-02,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.625000,1.083700e-07,2.034184e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.750000,3.511163e-07,6.590705e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,0.875000,4.311475e-07,8.092949e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,3,1.000000,2.759606e-07,5.179979e+00,6127.106658,ok
mlp,ntk,softplus,4096,1,1,4,0.000000,2.792346e-07,5.244340e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.125000,4.253711e-07,7.988947e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.250000,3.426292e-07,6.434962e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.375000,1.048125e-07,1.968497e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.500000,2.759563e-09,5.182770e-02,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.625000,1.114748e-07,2.093623e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.750000,3.441804e-07,6.464094e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,0.875000,4.029735e-07,7.568295e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,1,4,1.000000,2.575977e-07,4.837974e+00,6128.804777,ok
mlp,ntk,softplus,4096,1,2,3,0.000000,2.673915e-07,5.020208e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.125000,4.108660e-07,7.713907e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.250000,3.321191e-07,6.235452e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.375000,1.004817e-07,1.886519e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.500000,2.603157e-09,4.887362e-02,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.625000,1.060903e-07,1.991819e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.750000,3.321051e-07,6.235191e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,0.875000,4.009999e-07,7.528673e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,3,1.000000,2.582410e-07,4.848411e+00,6127.764682,ok
mlp,ntk,softplus,4096,1,2,4,0.000000,2.923177e-07,5.488398e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.125000,4.551271e-07,8.545219e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.250000,3.696775e-07,6.940864e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.375000,1.087716e-07,2.042236e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.500000,3.347477e-09,6.285042e-02,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.625000,1.165751e-07,2.188751e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.750000,3.663355e-07,6.878116e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,0.875000,4.364913e-07,8.195324e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,2,4,1.000000,2.796845e-07,5.251204e+00,6127.880221,ok
mlp,ntk,softplus,4096,1,3,4,0.000000,2.806780e-07,5.271982e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.125000,4.395400e-07,8.255891e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.250000,3.672413e-07,6.897902e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.375000,1.172824e-07,2.202918e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.500000,2.480957e-09,4.659988e-02,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.625000,1.095237e-07,2.057187e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.750000,3.664955e-07,6.883895e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,0.875000,4.483413e-07,8.421206e+00,6129.115107,ok
mlp,ntk,softplus,4096,1,3,4,1.000000,2.871609e-07,5.393751e+00,6129.115107,ok
mlp,sp,gelu,4096,1,0,1,0.000000,2.634851e-06,2.044832e-02,124.585018,ok
mlp,sp,gelu,4096,1,0,1,0.125000,3.809232e-05,2.956236e-01,124.585018,ok
mlp,sp,gelu,4096,1,0,1,0.250000,2.977567e-04,2.310804e+00,124.585018,ok
