kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,2,sp,relu,2,4.0,,,0.9175,,,,,2.3072,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,4,0.0,,,0.9227,,,,,1.5319,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,4,1.0,,,0.9246,,,,,1.5477,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,4,2.0,,,0.9211,,,,,1.5555,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,4,3.0,,,0.9186,,,,,1.5564,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,4,4.0,,,0.9244,,,,,1.5506,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,8,0.0,,,0.9261,,,,,1.056,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,8,1.0,,,0.925,,,,,1.0584,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,8,2.0,,,0.9302,,,,,1.0555,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,8,3.0,,,0.9273,,,,,1.0655,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,8,4.0,,,0.9301,,,,,1.0587,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,1,0.0,,,0.9104,,,,5.475032,3.1693,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,1,1.0,,,0.9096,,,,4.833419,3.2116,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,1,2.0,,,0.9133,,,,3.630984,3.1794,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,1,3.0,,,0.9096,,,,2.509604,3.1983,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,1,4.0,,,0.9132,,,,4.707598,3.1674,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,2,0.0,,,0.9196,,,,7.702084,2.2183,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,2,1.0,,,0.9191,,,,6.271892,2.2367,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,2,2.0,,,0.9185,,,,1.178194,2.226,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,2,3.0,,,0.9172,,,,1.613442,2.2141,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,2,4.0,,,0.9202,,,,1.761868,2.2195,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,4,0.0,,,0.9244,,,,1.005548,1.4133,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,4,1.0,,,0.9246,,,,0.788345,1.4183,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,4,2.0,,,0.9267,,,,0.476011,1.4239,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,4,3.0,,,0.9262,,,,0.888391,1.4181,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,4,4.0,,,0.9264,,,,0.391685,1.4196,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,8,0.0,,,0.9301,,,,0.343484,0.9585,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,8,1.0,,,0.9304,,,,0.148479,0.9603,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,8,2.0,,,0.932,,,,0.176791,0.9568,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,8,3.0,,,0.9273,,,,0.247667,0.9597,100,ok,param_cnn_v2_shard2.csv
net,2,sp,gelu,8,4.0,,,0.9312,,,,0.297772,0.9611,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,1,0.0,,,0.9115,,,,7.740278,3.5981,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,1,1.0,,,0.9104,,,,5.574408,3.6519,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,1,2.0,,,0.9117,,,,2.269006,3.5705,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,1,3.0,,,0.9106,,,,2.212127,3.5924,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,1,4.0,,,0.911,,,,1.845591,3.5906,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,2,0.0,,,0.9166,,,,5.25486,2.4889,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,2,1.0,,,0.9174,,,,0.984814,2.4702,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,2,2.0,,,0.9221,,,,4.708794,2.5135,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,2,3.0,,,0.917,,,,1.745348,2.5066,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,2,4.0,,,0.9201,,,,1.597041,2.5069,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,4,0.0,,,0.922,,,,1.231121,1.6388,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,4,1.0,,,0.924,,,,1.163759,1.6267,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,4,2.0,,,0.9219,,,,2.281768,1.6198,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,4,3.0,,,0.9202,,,,1.011928,1.6337,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,4,4.0,,,0.9211,,,,1.266522,1.64,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,8,0.0,,,0.929,,,,0.654658,1.0758,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,8,1.0,,,0.9277,,,,1.182208,1.0767,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,8,2.0,,,0.9247,,,,0.449036,1.0883,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,8,3.0,,,0.9272,,,,0.742297,1.0843,100,ok,param_cnn_v2_shard2.csv
net,2,sp,tanh,8,4.0,,,0.9267,,,,0.475486,1.0811,100,ok,param_cnn_v2_shard2.csv
net,3,sp,swish,1,0.0,,,0.9051,,,,3.469525,3.1327,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,1,1.0,,,0.9063,,,,2.917409,3.1644,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,1,2.0,,,0.9075,,,,4.267331,3.0926,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,1,3.0,,,0.9073,,,,5.000052,3.1261,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,1,4.0,,,0.9079,,,,3.753892,3.194,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,2,0.0,,,0.9165,,,,2.902298,2.2326,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,2,1.0,,,0.916,,,,0.759297,2.2463,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,2,2.0,,,0.9149,,,,1.018203,2.2205,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,2,3.0,,,0.9146,,,,1.212258,2.2265,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,2,4.0,,,0.9161,,,,0.827352,2.2329,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,4,0.0,,,0.9237,,,,0.305295,1.4625,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,4,1.0,,,0.9238,,,,0.391106,1.4607,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,4,2.0,,,0.9228,,,,0.930563,1.4496,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,4,3.0,,,0.9206,,,,0.314548,1.4611,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,4,4.0,,,0.9243,,,,0.377634,1.4503,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,8,0.0,,,0.9254,,,,0.3054,0.979,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,8,1.0,,,0.9262,,,,0.181997,0.9856,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,8,2.0,,,0.9275,,,,0.358914,0.9877,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,8,3.0,,,0.9303,,,,0.237049,0.9866,100,ok,param_cnn_v2_shard3.csv
net,3,sp,swish,8,4.0,,,0.9278,,,,0.176986,0.9806,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,1,0.0,,,0.9041,,,,1.303025,3.1346,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,1,1.0,,,0.9022,,,,1.051803,3.1177,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,1,2.0,,,0.9044,,,,1.497412,3.1483,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,1,3.0,,,0.9064,,,,0.673029,3.0877,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,1,4.0,,,0.9027,,,,1.312211,3.0694,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,2,0.0,,,0.9113,,,,0.945911,2.2946,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,2,1.0,,,0.9137,,,,0.715491,2.2726,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,2,2.0,,,0.9112,,,,0.7671,2.2863,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,2,3.0,,,0.9116,,,,6.269689,2.2844,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,2,4.0,,,0.9129,,,,0.693322,2.2347,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,4,0.0,,,0.9154,,,,3.245312,1.6121,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,4,1.0,,,0.9153,,,,1.578495,1.6215,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,4,2.0,,,0.9165,,,,4.919703,1.651,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,4,3.0,,,0.9153,,,,1.10399,1.6451,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,4,4.0,,,0.9145,,,,1.100219,1.6383,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,8,0.0,,,0.9131,,,,2.736318,1.1128,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,8,1.0,,,0.9162,,,,1.734887,1.1097,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,8,2.0,,,0.9182,,,,0.781755,1.1091,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,8,3.0,,,0.9154,,,,1.111441,1.1076,100,ok,param_cnn_v2_shard3.csv
net,3,sp,softplus,8,4.0,,,0.9149,,,,1.234396,1.1186,100,ok,param_cnn_v2_shard3.csv
net,4,mup,relu,1,0.0,,,0.9121,,,,,4.2349,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,1,1.0,,,0.913,,,,,4.0899,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,1,2.0,,,0.909,,,,,4.1377,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,1,3.0,,,0.9102,,,,,4.1831,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,1,4.0,,,0.9088,,,,,4.1314,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,2,0.0,,,0.9183,,,,,3.6281,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,2,1.0,,,0.9157,,,,,3.6477,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,2,2.0,,,0.9151,,,,,3.6241,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,2,3.0,,,0.9151,,,,,3.6265,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,2,4.0,,,0.9155,,,,,3.6372,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,4,0.0,,,0.9205,,,,,3.1092,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,4,1.0,,,0.9171,,,,,3.1179,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,4,2.0,,,0.9172,,,,,3.121,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,4,3.0,,,0.9206,,,,,3.1167,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,4,4.0,,,0.9173,,,,,3.1192,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,8,0.0,,,0.9221,,,,,2.7426,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,8,1.0,,,0.9198,,,,,2.7588,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,8,2.0,,,0.9227,,,,,2.7531,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,8,3.0,,,0.9229,,,,,2.7612,100,ok,param_cnn_v2_shard4.csv
net,4,mup,relu,8,4.0,,,0.9193,,,,,2.7359,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,1,0.0,,,0.9099,,,,4.284283,4.1103,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,1,1.0,,,0.9132,,,,3.543494,4.0742,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,1,2.0,,,0.9102,,,,5.938237,4.099,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,1,3.0,,,0.9112,,,,8.385318,4.1277,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,1,4.0,,,0.9101,,,,5.34048,4.0984,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,2,0.0,,,0.9152,,,,0.8258,3.451,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,2,1.0,,,0.9127,,,,1.464916,3.4435,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,2,2.0,,,0.9164,,,,5.622135,3.4522,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,2,3.0,,,0.9144,,,,5.305651,3.4284,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,2,4.0,,,0.9143,,,,1.318036,3.4194,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,4,0.0,,,0.9192,,,,0.701008,2.8544,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,4,1.0,,,0.9196,,,,0.458814,2.8557,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,4,2.0,,,0.9186,,,,0.562404,2.8543,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,4,3.0,,,0.9193,,,,0.417053,2.8615,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,4,4.0,,,0.9202,,,,0.446252,2.8674,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,8,0.0,,,0.9218,,,,0.175975,2.5163,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,8,1.0,,,0.9216,,,,0.897344,2.5316,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,8,2.0,,,0.9203,,,,0.066408,2.5193,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,8,3.0,,,0.9237,,,,0.095319,2.4978,100,ok,param_cnn_v2_shard4.csv
net,4,mup,gelu,8,4.0,,,0.9215,,,,0.706022,2.5099,100,ok,param_cnn_v2_shard4.csv
net,4,mup,tanh,1,0.0,,,0.9126,,,,5.434114,4.3268,100,ok,param_cnn_v2_shard4.csv
net,4,mup,tanh,1,1.0,,,0.9116,,,,4.697559,4.3524,100,ok,param_cnn_v2_shard4.csv
