kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,1,ntk,swish,2048,0.0,,,0.9089,,,,6.5e-05,0.0238,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,2048,1.0,,,0.908,,,,7.5e-05,0.0239,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,2048,2.0,,,0.9126,,,,6.9e-05,0.0241,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,2048,3.0,,,0.9082,,,,7.6e-05,0.0236,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,2048,4.0,,,0.9091,,,,8.6e-05,0.024,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,4096,0.0,,,0.9074,,,,3.5e-05,0.0133,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,4096,1.0,,,0.9063,,,,3.2e-05,0.0132,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,4096,2.0,,,0.906,,,,3.9e-05,0.0135,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,4096,3.0,,,0.9076,,,,3.4e-05,0.0133,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,swish,4096,4.0,,,0.9066,,,,2.8e-05,0.0134,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,64,0.0,,,0.9139,,,,0.00677,0.1855,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,64,1.0,,,0.9129,,,,0.005823,0.193,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,64,2.0,,,0.914,,,,0.008861,0.189,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,64,3.0,,,0.9123,,,,0.01121,0.1846,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,64,4.0,,,0.9129,,,,0.008883,0.1887,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,128,0.0,,,0.9105,,,,0.007293,0.1391,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,128,1.0,,,0.9117,,,,0.002745,0.1373,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,128,2.0,,,0.9129,,,,0.003594,0.1435,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,128,3.0,,,0.9108,,,,0.003167,0.1387,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,128,4.0,,,0.9113,,,,0.003498,0.1403,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,256,0.0,,,0.9098,,,,0.002005,0.0998,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,256,1.0,,,0.9089,,,,0.001449,0.0996,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,256,2.0,,,0.9101,,,,0.002163,0.1002,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,256,3.0,,,0.9075,,,,0.001702,0.0988,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,256,4.0,,,0.9079,,,,0.002126,0.0998,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,512,0.0,,,0.9059,,,,0.000844,0.0695,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,512,1.0,,,0.9057,,,,0.000722,0.0699,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,512,2.0,,,0.9057,,,,0.000587,0.0674,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,512,3.0,,,0.9033,,,,0.000858,0.0696,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,512,4.0,,,0.9058,,,,0.000707,0.0685,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,1024,0.0,,,0.8964,,,,0.00052,0.0441,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,1024,1.0,,,0.8993,,,,0.000324,0.0446,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,1024,2.0,,,0.8994,,,,0.00037,0.0439,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,1024,3.0,,,0.8998,,,,0.000266,0.0441,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,1024,4.0,,,0.8993,,,,0.000331,0.0445,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,2048,0.0,,,0.8928,,,,0.000143,0.0258,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,2048,1.0,,,0.8943,,,,0.000181,0.0261,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,2048,2.0,,,0.8922,,,,0.000149,0.0262,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,2048,3.0,,,0.8941,,,,0.000131,0.0262,30,ok,param_mlp_v2_shard1.csv
net,1,ntk,softplus,2048,4.0,,,0.8964,,,,0.000129,0.0261,30,ok,param_mlp_v2_shard1.csv
