kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,mlp,,ntk,tanh,128,1,4,465.5856,6.384960e+00,1.371383e-02,1.006532e+02,8.665570e-01,2.279107e-01,8.900796e-01,7.995176e-06,2.102789e-06,8.212204e-06,1.3992e-03,0.01,9.61e-07,1.863e-02,0.9175,0.918,ok
geo,mlp,,ntk,tanh,128,2,3,466.6906,7.138961e+00,1.529699e-02,1.142017e+02,9.467588e-01,2.531587e-01,9.648508e-01,8.693831e-06,2.324689e-06,8.859965e-06,1.4191e-03,0.01,9.83e-07,2.000e-02,0.9171,0.9148,ok
geo,mlp,,ntk,tanh,128,2,4,466.2152,6.797383e+00,1.457993e-02,1.092399e+02,7.820372e-01,2.199838e-01,8.087758e-01,7.195889e-06,2.024174e-06,7.441924e-06,1.4191e-03,0.01,8.51e-07,1.882e-02,0.9171,0.918,ok
geo,mlp,,ntk,tanh,128,3,4,466.3681,6.487448e+00,1.391057e-02,1.041940e+02,8.258946e-01,2.312181e-01,7.710967e-01,7.594460e-06,2.126151e-06,7.090569e-06,1.3977e-03,0.01,9.16e-07,1.516e-02,0.9148,0.918,ok
geo,mlp,,ntk,tanh,256,0,1,697.9431,9.201552e+00,1.318381e-02,1.506413e+02,1.127241e+00,1.881914e-01,1.024052e+00,4.628144e-06,7.726623e-07,4.204478e-06,1.1766e-03,0.01,9.54e-07,2.531e-02,0.9155,0.9162,ok
geo,mlp,,ntk,tanh,256,0,2,697.575,8.874434e+00,1.272184e-02,1.422757e+02,1.103268e+00,1.815945e-01,1.178518e+00,4.534499e-06,7.463644e-07,4.843779e-06,1.1766e-03,0.01,9.75e-07,2.514e-02,0.9155,0.9155,ok
geo,mlp,,ntk,tanh,256,0,3,697.7731,7.998498e+00,1.146289e-02,1.262409e+02,1.017813e+00,1.558037e-01,8.906743e-01,4.180897e-06,6.399990e-07,3.658647e-06,1.1766e-03,0.01,9.63e-07,2.439e-02,0.9155,0.9154,ok
geo,mlp,,ntk,tanh,256,0,4,697.3883,8.824003e+00,1.265293e-02,1.433861e+02,1.104685e+00,1.628199e-01,1.051286e+00,4.542753e-06,6.695578e-07,4.323162e-06,1.1766e-03,0.01,8.89e-07,2.184e-02,0.9155,0.9192,ok
geo,mlp,,ntk,tanh,256,1,2,697.8854,8.342493e+00,1.195396e-02,1.309763e+02,9.919636e-01,1.636788e-01,9.967573e-01,4.073404e-06,6.721314e-07,4.093089e-06,1.1847e-03,0.01,9.67e-07,2.440e-02,0.9162,0.9155,ok
geo,mlp,,ntk,tanh,256,1,3,698.858,9.288781e+00,1.329137e-02,1.524725e+02,1.083754e+00,1.876054e-01,1.032843e+00,4.437952e-06,7.682408e-07,4.229475e-06,1.1847e-03,0.01,9.50e-07,2.303e-02,0.9162,0.9154,ok
geo,mlp,,ntk,tanh,256,1,4,698.2009,9.306789e+00,1.332967e-02,1.513392e+02,1.093462e+00,1.923423e-01,1.195711e+00,4.486142e-06,7.891215e-07,4.905638e-06,1.1847e-03,0.01,9.18e-07,2.888e-02,0.9162,0.9192,ok
