mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
mlp,ntk,tanh,64,0,2,3.218329e+02,2.684634e-01,2.666492e-01,1.790962e-01,0.5000,4.466525e-01,1.764106e-01,3.225674e-01,3.225674e-01,3.225674e-01,0.8740,,,,,,,,,,,,,,0.21556246280670166,ok
mlp,ntk,tanh,64,0,3,3.221742e+02,2.684634e-01,2.695997e-01,1.401566e-01,0.5000,4.091882e-01,1.764106e-01,2.968402e-01,2.968402e-01,2.968402e-01,0.8941,,,,,,,,,,,,,,0.21556246280670166,ok
mlp,ntk,tanh,64,0,4,3.219006e+02,2.684634e-01,2.627920e-01,2.127584e-01,0.5000,4.783860e-01,1.764106e-01,3.476022e-01,3.476022e-01,3.476022e-01,0.8759,,,,,,,,,,,,,,0.21556246280670166,ok
mlp,ntk,tanh,64,1,2,3.210024e+02,2.657637e-01,2.666492e-01,1.545044e-01,0.5000,4.207108e-01,1.741394e-01,3.070162e-01,3.070162e-01,3.070162e-01,0.8983,,,,,,,,,,,,,,0.21558429300785065,ok
mlp,ntk,tanh,64,1,3,3.207642e+02,2.657637e-01,2.695997e-01,2.783331e-01,0.5000,5.460148e-01,1.741394e-01,3.956579e-01,3.956579e-01,3.956579e-01,0.8447,,,,,,,,,,,,,,0.21558429300785065,ok
mlp,ntk,tanh,64,1,4,3.203653e+02,2.657637e-01,2.627920e-01,3.673561e-01,0.5000,6.316339e-01,1.741394e-01,4.147916e-01,4.147916e-01,4.147916e-01,0.7657,,,,,,,,,,,,,,0.21558429300785065,ok
mlp,ntk,tanh,64,2,3,3.221842e+02,2.666492e-01,2.695997e-01,2.546895e-01,0.5000,5.228140e-01,1.767596e-01,3.756783e-01,3.756783e-01,3.756783e-01,0.8533,,,,,,,,,,,,,,0.2196068912744522,ok
mlp,ntk,tanh,64,2,4,3.214944e+02,2.666492e-01,2.627920e-01,2.610999e-01,0.5000,5.258205e-01,1.767596e-01,3.582155e-01,3.582155e-01,3.582155e-01,0.8433,,,,,,,,,,,,,,0.2196068912744522,ok
mlp,ntk,tanh,64,3,4,3.218993e+02,2.695997e-01,2.627920e-01,1.689691e-01,0.5000,4.351649e-01,1.757397e-01,3.167442e-01,3.167442e-01,3.167442e-01,0.8938,,,,,,,,,,,,,,0.2124612182378769,ok
mlp,ntk,tanh,128,0,1,4.651985e+02,2.868592e-01,2.890813e-01,1.920737e-01,0.5000,4.800439e-01,1.922944e-01,3.545342e-01,3.545342e-01,3.545342e-01,0.8891,,,,,,,,,,,,,,0.14996498823165894,ok
mlp,ntk,tanh,128,0,2,4.653697e+02,2.868592e-01,2.888735e-01,1.928032e-01,0.5000,4.806696e-01,1.922944e-01,3.558782e-01,3.558782e-01,3.558782e-01,0.8904,,,,,,,,,,,,,,0.14996498823165894,ok
mlp,ntk,tanh,128,0,3,4.661056e+02,2.868592e-01,2.827220e-01,1.760870e-01,0.5000,4.608775e-01,1.922944e-01,3.429243e-01,3.429243e-01,3.429243e-01,0.9002,,,,,,,,,,,,,,0.14996498823165894,ok
mlp,ntk,tanh,128,0,4,4.659658e+02,2.868592e-01,2.899295e-01,2.266400e-01,0.5000,5.150343e-01,1.922944e-01,3.768933e-01,3.768933e-01,3.768933e-01,0.8734,,,,,,,,,,,,,,0.14996498823165894,ok
mlp,ntk,tanh,128,1,2,4.652819e+02,2.890813e-01,2.888735e-01,1.791005e-01,0.5000,4.680779e-01,1.919997e-01,3.543165e-01,3.543165e-01,3.543165e-01,0.8927,,,,,,,,,,,,,,0.15184542536735535,ok
mlp,ntk,tanh,128,1,3,4.661237e+02,2.890813e-01,2.827220e-01,2.966111e-01,0.5000,5.825127e-01,1.919997e-01,4.241069e-01,4.241069e-01,4.241069e-01,0.8631,,,,,,,,,,,,,,0.15184542536735535,ok
mlp,ntk,tanh,128,1,4,4.655856e+02,2.890813e-01,2.899295e-01,2.341420e-01,0.5000,5.236474e-01,1.919997e-01,3.904100e-01,3.904100e-01,3.904100e-01,0.8752,,,,,,,,,,,,,,0.15184542536735535,ok
mlp,ntk,tanh,128,2,3,4.666906e+02,2.888735e-01,2.827220e-01,2.628388e-01,0.5000,5.486366e-01,1.932501e-01,4.059895e-01,4.059895e-01,4.059895e-01,0.8748,,,,,,,,,,,,,,0.1491963416337967,ok
mlp,ntk,tanh,128,2,4,4.662152e+02,2.888735e-01,2.899295e-01,2.254024e-01,0.5000,5.148039e-01,1.932501e-01,3.840106e-01,3.840106e-01,3.840106e-01,0.8852,,,,,,,,,,,,,,0.1491963416337967,ok
mlp,ntk,tanh,128,3,4,4.663681e+02,2.827220e-01,2.899295e-01,2.164026e-01,0.5000,5.027284e-01,1.895803e-01,3.710223e-01,3.710223e-01,3.710223e-01,0.8861,,,,,,,,,,,,,,0.15214863419532776,ok
mlp,ntk,tanh,256,0,1,6.979431e+02,3.008684e-01,3.019635e-01,3.469208e-01,0.5000,6.483368e-01,2.043368e-01,4.755114e-01,4.755114e-01,4.755114e-01,0.8744,,,,,,,,,,,,,,0.10142864286899567,ok
mlp,ntk,tanh,256,0,2,6.975750e+02,3.008684e-01,3.035473e-01,3.424223e-01,0.5000,6.446301e-01,2.043368e-01,4.654381e-01,4.654381e-01,4.654381e-01,0.8620,,,,,,,,,,,,,,0.10142864286899567,ok
mlp,ntk,tanh,256,0,3,6.977731e+02,3.008684e-01,2.983058e-01,2.802465e-01,0.5000,5.798337e-01,2.043368e-01,4.288391e-01,4.288391e-01,4.288391e-01,0.8809,,,,,,,,,,,,,,0.10142864286899567,ok
mlp,ntk,tanh,256,0,4,6.973883e+02,3.008684e-01,2.999379e-01,3.380726e-01,0.5000,6.384758e-01,2.043368e-01,4.685736e-01,4.685736e-01,4.685736e-01,0.8603,,,,,,,,,,,,,,0.10142864286899567,ok
mlp,ntk,tanh,256,1,2,6.978854e+02,3.019635e-01,3.035473e-01,3.026309e-01,0.5000,6.053863e-01,2.041556e-01,4.401507e-01,4.401507e-01,4.401507e-01,0.8763,,,,,,,,,,,,,,0.10303474217653275,ok
mlp,ntk,tanh,256,1,3,6.988580e+02,3.019635e-01,2.983058e-01,3.385839e-01,0.5000,6.387186e-01,2.041556e-01,4.643480e-01,4.643480e-01,4.643480e-01,0.8860,,,,,,,,,,,,,,0.10303474217653275,ok
mlp,ntk,tanh,256,1,4,6.982009e+02,3.019635e-01,2.999379e-01,3.749224e-01,0.5000,6.758731e-01,2.041556e-01,4.785193e-01,4.785193e-01,4.785193e-01,0.8722,,,,,,,,,,,,,,0.10303474217653275,ok
mlp,ntk,tanh,256,2,3,6.986733e+02,3.035473e-01,2.983059e-01,3.342712e-01,0.5000,6.351977e-01,2.049923e-01,4.641542e-01,4.641542e-01,4.641542e-01,0.8697,,,,,,,,,,,,,,0.10119298845529556,ok
mlp,ntk,tanh,256,2,4,6.977617e+02,3.035473e-01,2.999379e-01,3.575832e-01,0.5000,6.593258e-01,2.049923e-01,4.736410e-01,4.736410e-01,4.736410e-01,0.8654,,,,,,,,,,,,,,0.10119298845529556,ok
