mode,regime,act,width,seedA,seedB,dnorm,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000,rq_min,rq_max,t_argmin,accA,accB,status
mlp,ntk,tanh,256,1,3,6.988580e+02,4.437952e-06,5.889985e-06,7.590488e-06,9.270903e-06,1.044873e-05,1.057072e-05,9.312393e-06,6.853869e-06,3.934154e-06,1.603962e-06,7.682408e-07,1.760296e-06,4.180175e-06,7.079945e-06,9.403572e-06,1.045904e-05,1.016031e-05,8.907410e-06,7.250597e-06,5.617453e-06,4.229475e-06,7.682408e-07,1.057072e-05,0.5000,0.9162,0.9154,ok
mlp,ntk,tanh,256,1,4,6.982009e+02,4.486142e-06,6.139067e-06,8.187968e-06,1.036676e-05,1.203682e-05,1.236386e-05,1.090056e-05,7.999426e-06,4.623362e-06,1.911645e-06,7.891215e-07,1.655555e-06,4.237833e-06,7.656410e-06,1.070167e-05,1.231203e-05,1.211458e-05,1.057015e-05,8.496793e-06,6.518034e-06,4.905638e-06,7.891215e-07,1.236386e-05,0.5000,0.9162,0.9192,ok
mlp,ntk,tanh,256,2,3,6.986733e+02,4.265108e-06,5.606208e-06,7.188973e-06,8.782575e-06,9.948046e-06,1.014064e-05,8.992387e-06,6.634499e-06,3.795355e-06,1.533407e-06,7.523008e-07,1.785502e-06,4.237547e-06,7.143829e-06,9.414108e-06,1.034951e-05,9.908703e-06,8.558773e-06,6.887997e-06,5.313412e-06,4.019608e-06,7.523008e-07,1.034951e-05,0.5000,0.9155,0.9154,ok
mlp,ntk,tanh,256,2,4,6.977617e+02,4.597064e-06,6.109106e-06,7.913692e-06,9.731955e-06,1.100813e-05,1.109330e-05,9.674217e-06,7.067456e-06,4.107174e-06,1.793144e-06,9.189745e-07,1.784886e-06,4.088174e-06,7.038941e-06,9.646125e-06,1.107773e-05,1.101234e-05,9.762962e-06,7.980167e-06,6.216108e-06,4.742798e-06,9.189745e-07,1.109330e-05,0.5000,0.9155,0.9192,ok
mlp,ntk,tanh,256,3,4,6.980194e+02,4.146940e-06,5.250416e-06,6.457276e-06,7.588677e-06,8.345640e-06,8.368796e-06,7.408138e-06,5.541825e-06,3.279169e-06,1.414650e-06,6.808376e-07,1.391847e-06,3.271272e-06,5.572429e-06,7.450640e-06,8.366313e-06,8.255356e-06,7.405088e-06,6.206955e-06,4.975039e-06,3.887078e-06,6.808376e-07,8.368796e-06,0.5000,0.9154,0.9192,ok
mlp,ntk,tanh,512,0,1,1.097127e+03,2.258971e-06,3.060357e-06,4.039155e-06,5.072174e-06,5.886702e-06,6.109998e-06,5.473548e-06,4.054376e-06,2.314495e-06,8.815685e-07,2.645503e-07,6.793162e-07,1.994087e-06,3.762255e-06,5.368233e-06,6.282287e-06,6.297318e-06,5.583589e-06,4.517028e-06,3.437187e-06,2.527676e-06,2.645503e-07,6.297318e-06,0.5000,0.9161,0.9122,ok
mlp,ntk,tanh,512,0,2,1.098006e+03,2.185785e-06,2.888320e-06,3.712592e-06,4.539485e-06,5.138801e-06,5.219473e-06,4.587937e-06,3.328129e-06,1.837393e-06,6.626479e-07,2.513876e-07,7.608175e-07,1.991320e-06,3.465404e-06,4.644963e-06,5.182334e-06,5.039388e-06,4.416746e-06,3.588278e-06,2.769281e-06,2.073086e-06,2.513876e-07,5.219473e-06,0.5000,0.9161,0.9125,ok
mlp,ntk,tanh,512,0,3,1.097266e+03,2.215652e-06,2.988251e-06,3.914540e-06,4.850335e-06,5.507300e-06,5.545607e-06,4.796361e-06,3.426015e-06,1.881806e-06,6.895960e-07,2.514411e-07,7.169385e-07,1.937964e-06,3.502242e-06,4.864099e-06,5.573880e-06,5.495532e-06,4.826096e-06,3.900978e-06,2.989441e-06,2.224897e-06,2.514411e-07,5.573880e-06,0.5000,0.9161,0.9167,ok
mlp,ntk,tanh,512,0,4,1.097094e+03,2.536860e-06,3.357768e-06,4.277687e-06,5.106271e-06,5.556930e-06,5.371226e-06,4.484937e-06,3.103573e-06,1.639700e-06,5.652750e-07,2.432619e-07,7.939380e-07,2.037634e-06,3.541060e-06,4.780876e-06,5.375485e-06,5.246779e-06,4.592816e-06,3.713588e-06,2.848393e-06,2.119613e-06,2.432619e-07,5.556930e-06,0.5000,0.9161,0.9142,ok
mlp,ntk,tanh,512,1,2,1.097114e+03,2.333653e-06,3.154774e-06,4.135899e-06,5.124751e-06,5.818747e-06,5.858111e-06,5.056886e-06,3.587253e-06,1.935174e-06,6.762815e-07,2.379321e-07,7.564159e-07,2.045736e-06,3.661560e-06,5.054843e-06,5.786262e-06,5.712041e-06,5.014643e-06,4.037395e-06,3.071962e-06,2.266695e-06,2.379321e-07,5.858111e-06,0.5000,0.9122,0.9125,ok
